DUPONT;Bob;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
DURANT;Lea;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
VERTON;Vic;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
BIGOT;Roy;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;0;1
DUPONT;Bob;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
DURANT;Lea;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
VERTON;Vic;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
BIGOT;Roy;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;0;1
DUPONT;Bob;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
DURANT;Lea;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
VERTON;Vic;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
BIGOT;Roy;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;0;1
DUPONT;Bob;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
DURANT;Lea;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
VERTON;Vic;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;1;1
BIGOT;Roy;2022-2023;605040302;bob.dupont@stfelixlasalle.fr;;0;1
