DUPONT;Bob;0605040302;bob.dupont@stfelixlasalle.fr;;1;1
DURANT;Lea;0605040303;bob.dupont@stfelixlasalle.fr;;1;2
VERTON;Vic;0605040304;bob.dupont@stfelixlasalle.fr;;1;3
BIGOT;Roy;0605040305;bob.dupont@stfelixlasalle.fr;;0;4
SERIN;Noah;0605040306;bob.dupont@stfelixlasalle.fr;;1;1
BRIT;Kevin;0605040307;bob.dupont@stfelixlasalle.fr;;1;2
CERTIN;Kilian;0605040308;bob.dupont@stfelixlasalle.fr;;1;2
DERY;Tim;0605040309;bob.dupont@stfelixlasalle.fr;;0;2
GRIVU;Jeremy;0605040310;bob.dupont@stfelixlasalle.fr;;1;2
NERTOUT;Ben;0605040311;bob.dupont@stfelixlasalle.fr;;1;3
AURION;Melvin;0605040312;bob.dupont@stfelixlasalle.fr;;1;4
JEAN;Greg;0605040313;bob.dupont@stfelixlasalle.fr;;0;1
MELOUP;Brice;0605040314;bob.dupont@stfelixlasalle.fr;;1;1
KRIK;Lea;0605040315;bob.dupont@stfelixlasalle.fr;;1;1
PERTUIS;Noémie;0605040316;bob.dupont@stfelixlasalle.fr;;1;4
HILLERITEAU;Laura;0605040317;bob.dupont@stfelixlasalle.fr;;0;1
